filename,id,name,pos,season,total,average
thatnewnew,4360438,Brandon Aiyuk,wr,2024,1159.0768385889999,77.27178923926665
thatnewnew,3126486,Deebo Samuel Sr.,wr,2023,1229.0,81.93333333333334
thatnewnew,3126486,Deebo Samuel Sr.,wr,2024,1176.341473623,84.02439097307142
thatnewnew,4047365,Josh Jacobs,rb,2023,1316.0,101.23076923076923
thatnewnew,4047365,Josh Jacobs,rb,2024,1501.4650384689999,107.2475027477857
thatnewnew,4258173,Nico Collins,wr,2023,1435.9,95.72666666666667
thatnewnew,4258173,Nico Collins,wr,2024,1175.588204841,78.3725469894
thatnewnew,4432577,C.J. Stroud,qb,2023,1435.6,95.70666666666666
thatnewnew,4432577,C.J. Stroud,qb,2024,1519.8288863200003,101.32192575466668
thatnewnew,4429160,De'Von Achane,rb,2023,1242.5,112.95454545454545
thatnewnew,4429160,De'Von Achane,rb,2024,1277.180984062,91.22721314728572
thatnewnew,4697815,Rachaad White,rb,2023,1621.5,95.38235294117646
thatnewnew,4697815,Rachaad White,rb,2024,1517.466282474,108.39044874814286
thatnewnew,-16006,Cowboys D/ST,def,2023,2017.0,118.6470588235294
thatnewnew,-16006,Cowboys D/ST,def,2024,1658.8416398999998,97.57891999411764
thatnewnew,4372016,Jaylen Waddle,wr,2023,1139.4,81.38571428571429
thatnewnew,4372016,Jaylen Waddle,wr,2024,1183.056302985,78.870420199
thatnewnew,4426502,Drake London,wr,2023,997.3,62.33125
thatnewnew,4426502,Drake London,wr,2024,1193.188224543,79.5458816362
thatnewnew,4241478,DeVonta Smith,wr,2023,1215.0,75.9375
thatnewnew,4241478,DeVonta Smith,wr,2024,1187.092040039,79.13946933593334
thatnewnew,3915416,DJ Moore,wr,2023,1578.2,92.83529411764707
thatnewnew,3915416,DJ Moore,wr,2024,1168.0676660690003,77.87117773793335
thatnewnew,4567048,Kenneth Walker III,rb,2023,999.5,66.63333333333334
thatnewnew,4567048,Kenneth Walker III,rb,2024,1443.9473359229996,103.1390954230714
thatnewnew,2977187,Cooper Kupp,wr,2023,933.9,77.825
thatnewnew,2977187,Cooper Kupp,wr,2024,1131.9602997690001,75.46401998460001
thatnewnew,4361307,Trey McBride,te,2023,997.5,58.6764705882353
thatnewnew,4361307,Trey McBride,te,2024,989.6380416480001,65.97586944320001
thatnewnew,3040151,George Kittle,te,2023,1109.4,69.3375
thatnewnew,3040151,George Kittle,te,2024,912.538796526,60.835919768400004
thatnewnew,4429084,Anthony Richardson,qb,2023,304.59999999999997,76.14999999999999
thatnewnew,4429084,Anthony Richardson,qb,2024,1534.287715147,102.28584767646666
thatnewnew,-14025,49ers Coach,hc,2023,1303.0,76.6470588235294
thatnewnew,-14025,49ers Coach,hc,2024,1250.1701108,73.53941828235294
thatnewnew,3055899,Harrison Butker,k,2023,1245.0,73.23529411764706
thatnewnew,3055899,Harrison Butker,k,2024,1293.7938058800003,76.10551799294119
thatnewnew,-16033,Ravens D/ST,def,2023,2167.0,127.47058823529412
thatnewnew,-16033,Ravens D/ST,def,2024,1673.810722325,98.45945425441175
thatnewnew,4429615,Zay Flowers,wr,2023,1071.2,66.95
thatnewnew,4429615,Zay Flowers,wr,2024,1122.3935692369998,74.82623794913333
thatnewnew,3915511,Joe Burrow,qb,2023,799.0,79.9
thatnewnew,3915511,Joe Burrow,qb,2024,1560.432788532,104.02885256879999
thatnewnew,3051876,Evan Engram,te,2023,1259.5,74.08823529411765
thatnewnew,3051876,Evan Engram,te,2024,1005.333081841,67.02220545606666
thatnewnew,-14012,Chiefs Coach,hc,2023,980.0,57.64705882352941
thatnewnew,-14012,Chiefs Coach,hc,2024,1298.0646282,76.35674283529411
thatnewnew,3124005,Zaire Franklin,dp,2023,1558.5,97.40625
thatnewnew,3124005,Zaire Franklin,dp,2024,1395.9399412100001,82.11411418882354
thatnewnew,4385690,Dalton Kincaid,te,2023,836.5,52.28125
thatnewnew,4385690,Dalton Kincaid,te,2024,903.8357448450001,60.25571632300001
thatnewnew,4595348,Malik Nabers,wr,2024,1149.315807637,76.62105384246667
thatnewnew,4366031,Tank Dell,wr,2023,892.7,81.15454545454546
thatnewnew,4366031,Tank Dell,wr,2024,1169.607184831,77.97381232206666
thatnewnew,3117253,Bobby Okereke,dp,2023,1573.5,92.55882352941177
thatnewnew,3117253,Bobby Okereke,dp,2024,1421.7176261500003,83.63044859705884
thatnewnew,4362851,Ernest Jones IV,dp,2023,1323.5,88.23333333333333
thatnewnew,4362851,Ernest Jones IV,dp,2024,1447.25705108,85.13276771058824
thatnewnew,2577417,Dak Prescott,qb,2023,1688.6000000000001,99.3294117647059
thatnewnew,2577417,Dak Prescott,qb,2024,1565.9480951750002,104.39653967833334
thatnewnew,3042519,Aaron Jones,rb,2023,945.7,85.97272727272728
thatnewnew,3042519,Aaron Jones,rb,2024,1191.722860577,85.12306146978571
thatnewnew,4239993,Tee Higgins,wr,2023,735.0,61.25
thatnewnew,4239993,Tee Higgins,wr,2024,1115.6284909449998,74.37523272966665
thatnewnew,3138826,Fred Warner,dp,2023,1504.5,88.5
thatnewnew,3138826,Fred Warner,dp,2024,1409.007801525,82.88281185441177
thatnewnew,3925357,Calvin Ridley,wr,2023,1228.6,72.27058823529411
thatnewnew,3925357,Calvin Ridley,wr,2024,1135.8260656019997,75.72173770679998
thatnewnew,4360248,Kyle Pitts,te,2023,729.7,42.92352941176471
thatnewnew,4360248,Kyle Pitts,te,2024,894.658183123,59.643878874866665
thatnewnew,3915189,Roquan Smith,dp,2023,1354.5,84.65625
thatnewnew,3915189,Roquan Smith,dp,2024,1361.2935929800003,80.0760937047059
thatnewnew,4569173,Rhamondre Stevenson,rb,2023,880.8,73.39999999999999
thatnewnew,4569173,Rhamondre Stevenson,rb,2024,1323.90534387,94.56466741928571
thatnewnew,4426354,George Pickens,wr,2023,1247.6,73.38823529411764
thatnewnew,4426354,George Pickens,wr,2024,1144.4227898700003,76.29485265800002
thatnewnew,3045282,T.J. Watt,dp,2023,1268.0,74.58823529411765
thatnewnew,3045282,T.J. Watt,dp,2024,900.3086241599999,52.95933083294117
thatnewnew,3050073,Foyesade Oluokun,dp,2023,1659.0,97.58823529411765
thatnewnew,3050073,Foyesade Oluokun,dp,2024,1375.0008786449998,80.88240462617647
thatnewnew,3123076,David Njoku,te,2023,1095.0,68.4375
thatnewnew,3123076,David Njoku,te,2024,859.862158977,57.3241439318
thatnewnew,4259545,D'Andre Swift,rb,2023,1180.8,73.8
thatnewnew,4259545,D'Andre Swift,rb,2024,1207.6008198470001,86.25720141764286
thatnewnew,4036378,Jordan Love,qb,2023,1459.0000000000002,85.82352941176472
thatnewnew,4036378,Jordan Love,qb,2024,1429.8474930539999,95.3231662036
thatnewnew,4035538,David Montgomery,rb,2023,1319.5,94.25
thatnewnew,4035538,David Montgomery,rb,2024,1099.9895759780002,78.57068399842858
thatnewnew,2971573,Ka'imi Fairbairn,k,2023,885.0,73.75
thatnewnew,2971573,Ka'imi Fairbairn,k,2024,1206.074170058,70.94553941517647
thatnewnew,15818,Keenan Allen,wr,2023,1519.8999999999999,116.91538461538461
thatnewnew,15818,Keenan Allen,wr,2024,1078.129730183,77.00926644164285
thatnewnew,2976499,Amari Cooper,wr,2023,1358.0,90.53333333333333
thatnewnew,2976499,Amari Cooper,wr,2024,1111.819644888,74.12130965920001
thatnewnew,4361423,Micah Parsons,dp,2023,915.0,53.8235294117647
thatnewnew,4361423,Micah Parsons,dp,2024,805.5604458600001,47.385908580000006
thatnewnew,3916655,Maxx Crosby,dp,2023,1203.0,70.76470588235294
thatnewnew,3916655,Maxx Crosby,dp,2024,981.4756266100001,57.73386038882353
thatnewnew,-16020,Jets D/ST,def,2023,1981.0,116.52941176470588
thatnewnew,-16020,Jets D/ST,def,2024,1696.455097745,99.79147633794118
thatnewnew,4034790,Antoine Winfield Jr.,dp,2023,1532.5,90.1470588235294
thatnewnew,4034790,Antoine Winfield Jr.,dp,2024,1253.506781825,73.73569304852941
thatnewnew,-14033,Ravens Coach,hc,2023,1343.0,79.0
thatnewnew,-14033,Ravens Coach,hc,2024,1237.3422455999998,72.78483797647058
thatnewnew,3116165,Chris Godwin,wr,2023,1163.6,68.4470588235294
thatnewnew,3116165,Chris Godwin,wr,2024,1129.75541049,75.317027366
thatnewnew,3045147,James Conner,rb,2023,1213.5,93.34615384615384
thatnewnew,3045147,James Conner,rb,2024,1148.404109682,88.33877766784614
thatnewnew,-16023,Steelers D/ST,def,2023,1868.0,109.88235294117646
thatnewnew,-16023,Steelers D/ST,def,2024,1636.7315928850005,96.27832899323532
thatnewnew,4361777,Zamir White,rb,2023,577.2,33.95294117647059
thatnewnew,4361777,Zamir White,rb,2024,1276.3747066160004,91.16962190114289
thatnewnew,4242355,Jake Ferguson,te,2023,901.5,53.029411764705884
thatnewnew,4242355,Jake Ferguson,te,2024,832.2517140289999,55.48344760193333
thatnewnew,3121422,Terry McLaurin,wr,2023,1130.0,66.47058823529412
thatnewnew,3121422,Terry McLaurin,wr,2024,1059.303515553,70.6202343702
thatnewnew,4241457,Najee Harris,rb,2023,1134.0,66.70588235294117
thatnewnew,4241457,Najee Harris,rb,2024,1246.9355716549999,89.0668265467857
thatnewnew,4361741,Brock Purdy,qb,2023,1555.0,97.1875
thatnewnew,4361741,Brock Purdy,qb,2024,1431.499659174,95.4333106116
thatnewnew,3917315,Kyler Murray,qb,2023,618.0,77.25
thatnewnew,3917315,Kyler Murray,qb,2024,1486.8816681419999,99.1254445428
thatnewnew,4241474,Brian Robinson Jr.,rb,2023,911.6,60.77333333333333
thatnewnew,4241474,Brian Robinson Jr.,rb,2024,1242.7352943709998,88.7668067407857
thatnewnew,2576414,Raheem Mostert,rb,2023,1268.9,84.59333333333333
thatnewnew,2576414,Raheem Mostert,rb,2024,1005.9731756769999,71.85522683407142
thatnewnew,4569987,Jaylen Warren,rb,2023,1162.8,68.39999999999999
thatnewnew,4569987,Jaylen Warren,rb,2024,1090.142432651,77.86731661792858
thatnewnew,15795,DeAndre Hopkins,wr,2023,1240.3,72.95882352941176
thatnewnew,15795,DeAndre Hopkins,wr,2024,1077.554370605,71.83695804033333
thatnewnew,4360234,Evan McPherson,k,2023,1239.0,72.88235294117646
thatnewnew,4360234,Evan McPherson,k,2024,1180.222031572,69.42482538658824
thatnewnew,3919512,Jessie Bates III,dp,2023,1489.5,87.61764705882354
thatnewnew,3919512,Jessie Bates III,dp,2024,1239.701056545,72.92359156147059
thatnewnew,3128720,Nick Chubb,rb,2023,193.5,96.75
thatnewnew,3128720,Nick Chubb,rb,2024,913.44215011,101.49357223444444
thatnewnew,3895856,Christian Kirk,wr,2023,859.9,71.65833333333333
thatnewnew,3895856,Christian Kirk,wr,2024,1111.48759971,74.099173314
thatnewnew,4428331,Rashee Rice,wr,2023,1108.4,69.275
thatnewnew,4428331,Rashee Rice,wr,2024,940.4592837590002,72.3430218276154
thatnewnew,3916148,Tony Pollard,rb,2023,1325.5,77.97058823529412
thatnewnew,3916148,Tony Pollard,rb,2024,1097.446978769,78.38906991207143
thatnewnew,3932905,Diontae Johnson,wr,2023,790.5,56.464285714285715
thatnewnew,3932905,Diontae Johnson,wr,2024,1089.1879976289997,72.61253317526665
thatnewnew,3068267,Austin Ekeler,rb,2023,1117.6,79.82857142857142
thatnewnew,3068267,Austin Ekeler,rb,2024,1189.9070515019998,84.99336082157141
thatnewnew,4362249,Jayden Reed,wr,2023,1005.3,62.83125
thatnewnew,4362249,Jayden Reed,wr,2024,1206.785578213,80.45237188086666
thatnewnew,4429205,Jordan Addison,wr,2023,1158.9,68.17058823529412
thatnewnew,4429205,Jordan Addison,wr,2024,998.506088061,66.5670725374
thatnewnew,4248528,Christian Watson,wr,2023,461.2,46.12
thatnewnew,4248528,Christian Watson,wr,2024,909.308786102,60.620585740133336
thatnewnew,4678008,Jonathon Brooks,rb,2024,1081.079217797,83.15993983053846
thatnewnew,4241372,Marquise Brown,wr,2023,689.6,49.25714285714286
thatnewnew,4241372,Marquise Brown,wr,2024,877.8833771300001,58.52555847533334
thatnewnew,4361579,Javonte Williams,rb,2023,1016.8,63.55
thatnewnew,4361579,Javonte Williams,rb,2024,1169.897973988,83.56414099914286
thatnewnew,4432665,Brock Bowers,te,2024,751.094524152,50.0729682768
thatnewnew,4430878,Jaxon Smith-Njigba,wr,2023,782.0,46.0
thatnewnew,4430878,Jaxon Smith-Njigba,wr,2024,1029.6356199440002,68.64237466293335
thatnewnew,4683062,Xavier Worthy,wr,2024,1079.702672035,71.98017813566666
thatnewnew,4428557,Tyjae Spears,rb,2023,816.1,48.00588235294118
thatnewnew,4428557,Tyjae Spears,rb,2024,1537.4610082560002,109.81864344685717
thatnewnew,3121023,Dallas Goedert,te,2023,732.2,52.300000000000004
thatnewnew,3121023,Dallas Goedert,te,2024,814.707085098,54.3138056732
thatnewnew,4035676,Zack Moss,rb,2023,1052.8,75.2
thatnewnew,4035676,Zack Moss,rb,2024,971.123063346,69.36593309614285
thatnewnew,4036133,T.J. Hockenson,te,2023,1157.0,77.13333333333334
thatnewnew,4036133,T.J. Hockenson,te,2024,773.661161135,70.33283283045455
thatnewnew,4040761,Devin Singletary,rb,2023,1154.7,67.9235294117647
thatnewnew,4040761,Devin Singletary,rb,2024,1163.889403027,83.13495735907144
thatnewnew,3128429,Courtland Sutton,wr,2023,885.0,55.3125
thatnewnew,3128429,Courtland Sutton,wr,2024,1016.1850498459999,67.74566998973333
thatnewnew,4635008,Keon Coleman,wr,2024,959.287347837,63.952489855799996
thatnewnew,4426348,Jayden Daniels,qb,2024,1493.8996898789999,99.5933126586
thatnewnew,3051392,Ezekiel Elliott,rb,2023,893.9,52.58235294117647
thatnewnew,3051392,Ezekiel Elliott,rb,2024,1168.486046749,83.4632890535
thatnewnew,2577327,Tyler Lockett,wr,2023,1047.0,61.588235294117645
thatnewnew,2577327,Tyler Lockett,wr,2024,905.2774331360001,60.35182887573334
thatnewnew,4431611,Caleb Williams,qb,2024,1393.0652279629996,92.87101519753331
thatnewnew,4431299,Rome Odunze,wr,2024,893.769725268,59.5846483512
thatnewnew,4612826,Ladd McConkey,wr,2024,899.56008919,59.97067261266667
thatnewnew,-16018,Saints D/ST,def,2023,1688.0,99.29411764705883
thatnewnew,-16018,Saints D/ST,def,2024,1491.328663805,87.72521551794117
thatnewnew,3121544,T.J. Edwards,dp,2023,1571.5,92.44117647058823
thatnewnew,3121544,T.J. Edwards,dp,2024,1348.0096895049999,79.29468761794116
thatnewnew,3122132,Myles Garrett,dp,2023,930.0,58.125
thatnewnew,3122132,Myles Garrett,dp,2024,791.58154272,46.56362016
thatnewnew,14985,Lavonte David,dp,2023,1340.5,89.36666666666666
thatnewnew,14985,Lavonte David,dp,2024,1396.2580979600002,82.13282929176472
thatnewnew,-14008,Lions Coach,hc,2023,1166.0,68.58823529411765
thatnewnew,-14008,Lions Coach,hc,2024,1237.9547143999998,72.82086555294117
thatnewnew,8439,Aaron Rodgers,qb,2023,0.0,0.0
thatnewnew,8439,Aaron Rodgers,qb,2024,1434.908283143,95.66055220953334
thatnewnew,4035861,Camryn Bynum,dp,2023,1274.5,74.97058823529412
thatnewnew,4035861,Camryn Bynum,dp,2024,1210.1572006600002,71.18571768588237
thatnewnew,3051926,Gus Edwards,rb,2023,783.0,46.05882352941177
thatnewnew,3051926,Gus Edwards,rb,2024,971.4292774259999,69.38780553042857
thatnewnew,14979,Bobby Wagner,dp,2023,1644.0,96.70588235294117
thatnewnew,14979,Bobby Wagner,dp,2024,1327.2578235199999,78.07398961882352
thatnewnew,3049899,Younghoe Koo,k,2023,1040.0,61.1764705882353
thatnewnew,3049899,Younghoe Koo,k,2024,1156.07116165,68.00418597941177
thatnewnew,4372019,Jerome Ford,rb,2023,1310.1,77.06470588235294
thatnewnew,4372019,Jerome Ford,rb,2024,862.946651015,61.639046501071434
thatnewnew,4241985,J.K. Dobbins,rb,2023,36.9,36.9
thatnewnew,4241985,J.K. Dobbins,rb,2024,991.9867008649999,76.30666929730768
thatnewnew,3045138,Mike Williams,wr,2023,286.1,95.36666666666667
thatnewnew,3045138,Mike Williams,wr,2024,842.565702445,60.183264460357144
thatnewnew,14993,Greg Zuerlein,k,2023,954.0,59.625
thatnewnew,14993,Greg Zuerlein,k,2024,1210.1285083670002,71.1840299039412
thatnewnew,-16015,Dolphins D/ST,def,2023,1843.0,108.41176470588235
thatnewnew,-16015,Dolphins D/ST,def,2024,1600.7772628199998,94.16336840117646
thatnewnew,3915239,Josh Hines-Allen,dp,2023,971.0,57.11764705882353
thatnewnew,3915239,Josh Hines-Allen,dp,2024,827.2278853149999,48.66046384205882
thatnewnew,4040605,Nick Bosa,dp,2023,881.0,51.8235294117647
thatnewnew,4040605,Nick Bosa,dp,2024,728.534125005,42.85494852970588
thatnewnew,4426388,Jameson Williams,wr,2023,394.8,32.9
thatnewnew,4426388,Jameson Williams,wr,2024,834.910249985,55.66068333233333
thatnewnew,-14006,Cowboys Coach,hc,2023,1418.0,83.41176470588235
thatnewnew,-14006,Cowboys Coach,hc,2024,1265.4681094,74.43930055294118
thatnewnew,2976560,Danielle Hunter,dp,2023,1118.5,65.79411764705883
thatnewnew,2976560,Danielle Hunter,dp,2024,860.32675246,50.607456027058824
thatnewnew,16710,Khalil Mack,dp,2023,1327.0,78.05882352941177
thatnewnew,16710,Khalil Mack,dp,2024,846.667534265,49.803972603823524
thatnewnew,4432773,Brian Thomas Jr.,wr,2024,896.3454953329999,59.75636635553333
thatnewnew,3691739,Derwin James Jr.,dp,2023,1154.0,72.125
thatnewnew,3691739,Derwin James Jr.,dp,2024,1094.94477985,64.4085164617647
thatnewnew,4372099,Aidan Hutchinson,dp,2023,923.0,54.294117647058826
thatnewnew,4372099,Aidan Hutchinson,dp,2024,772.6073467800001,45.44749098705883
thatnewnew,4426385,Zach Charbonnet,rb,2023,490.9,30.68125
thatnewnew,4426385,Zach Charbonnet,rb,2024,846.0888693579999,60.43491923985714
thatnewnew,4241463,Jerry Jeudy,wr,2023,765.0,47.8125
thatnewnew,4241463,Jerry Jeudy,wr,2024,942.5433032740001,62.836220218266675
thatnewnew,4575517,Kyle Hamilton,dp,2023,1117.0,74.46666666666667
thatnewnew,4575517,Kyle Hamilton,dp,2024,1116.8709770799999,65.69829276941175
thatnewnew,4692025,Brian Branch,dp,2023,971.0,64.73333333333333
